fen,success,depth,nodes,time_s,score
1B5b/1p1N4/1Pp5/2P3p1/K1pk3p/2N5/2nP1p2/1b3B2 w - - 0 1,True,1,60,2.019,+50499
1K2N2B/p1pR1P1p/1pP1k3/3p2nB/1r3qP1/1N1r4/4p3/4b3 w - - 0 1,True,1,68,0.116,+50499
1N3b2/p1kN3p/K4PPP/P1p1P3/2R2P2/1P1P4/3pppBB/3Q1R2 w - - 0 1,True,2,916,0.365,+49324
1Q6/6p1/4n1p1/4p3/3Ppbp1/4pkN1/4N3/5K2 w - - 0 1,True,1,74,0.111,+50499
1R6/3p4/2pP4/2k1P3/7p/3RN3/2PP3K/8 w - - 0 1,True,2,454,0.133,+48892
2b5/2N2p2/6p1/4N3/1B1k1p1r/Kp6/n7/4Q3 w - - 0 1,True,2,544,0.096,+50058
2K3n1/1pB1b3/1R3pP1/2Nk1p2/B6q/1N1P4/2Pp2P1/6r1 w - - 0 1,True,2,470,0.197,+50421
3B4/8/p4N2/1pP5/1k1NBp2/1P2b3/K1n1P3/8 w - - 0 1,True,2,401,0.098,+49996
3bN1n1/1pp5/4p2p/1P1kP3/1B4N1/rpPB2p1/p3K3/8 w - - 0 1,True,1,69,0.08,+50499
3r4/2R1P2N/p3Bp2/K2PkP2/1P5P/2p1P3/pBp1R3/Q2N4 w - - 0 1,True,2,827,0.27,+49330
